neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,price
Dreta de l'Eixample,41.39876,2.17162,Entire home/apt,5,1.5,2.0,2.0,85.0,135.0
Sants-Montjuïc,41.37064,2.14314,Private room,2,2.0,1.0,1.0,87.0,45.0
Sant Martí,41.39798,2.20426,Entire home/apt,4,2.0,2.0,2.0,93.0,85.0
Eixample,41.39911,2.17112,Entire home/apt,4,1.0,1.0,2.0,97.0,120.0
Ciutat Vella,41.3811,2.17489,Entire home/apt,2,1.0,1.0,1.0,100.0,150.0
Eixample,41.3845,2.14316,Private room,2,1.5,1.0,1.0,95.0,70.0
Sants-Montjuïc,41.37437,2.13318,Private room,1,1.0,1.0,1.0,97.0,42.0
Sants-Montjuïc,41.37291,2.16385,Private room,2,1.0,1.0,1.0,96.0,35.0
El Poble-sec,41.37268,2.16561,Private room,2,2.0,1.0,1.0,100.0,100.0
Vilapicina i la Torre Llobeta,41.43038,2.17935,Private room,2,1.0,1.0,1.0,98.0,38.0
Ciutat Vella,41.38284,2.17319,Private room,2,1.0,1.0,1.0,96.0,125.0
L'Antiga Esquerra de l'Eixample,41.38098,2.14247,Entire home/apt,4,1.0,2.0,2.0,100.0,70.0
Dreta de l'Eixample,41.39104,2.16333,Private room,4,1.0,1.0,2.0,81.0,160.0
Ciutat Vella,41.38208,2.17686,Entire home/apt,4,1.5,2.0,5.0,60.0,100.0
Sant Gervasi - Galvany,41.39642,2.15241,Entire home/apt,8,2.0,4.0,6.0,97.0,500.0
Ciutat Vella,41.38424,2.17375,Private room,2,1.0,1.0,1.0,91.0,95.0
Eixample,41.39569,2.17,Entire home/apt,2,1.0,1.0,1.0,88.0,99.0
El Gòtic,41.37878,2.1785,Private room,2,1.0,1.0,1.0,97.0,65.0
El Raval,41.37986,2.16433,Private room,3,1.0,1.0,1.0,72.0,39.0
Eixample,41.39588,2.1817,Entire home/apt,4,1.0,3.0,3.0,92.0,179.0
Dreta de l'Eixample,41.39572,2.16928,Entire home/apt,6,2.0,3.0,5.0,91.0,298.0
Ciutat Vella,41.38486,2.17428,Private room,2,3.0,1.0,1.0,92.0,59.0
Eixample,41.39356,2.16051,Entire home/apt,4,1.0,2.0,2.0,93.0,79.0
el Fort Pienc,41.39281,2.17912,Entire home/apt,6,1.0,0.0,4.0,93.0,130.0
Verdum - Los Roquetes,41.44829,2.17318,Private room,3,1.0,1.0,2.0,100.0,53.0
Ciutat Vella,41.38741,2.1754,Private room,1,1.0,1.0,1.0,93.0,40.0
El Raval,41.38074,2.16681,Entire home/apt,5,1.0,3.0,4.0,93.0,50.0
La Nova Esquerra de l'Eixample,41.37846,2.14835,Private room,1,1.0,1.0,2.0,100.0,30.0
Sant Antoni,41.37952,2.15975,Entire home/apt,5,1.0,3.0,4.0,89.0,159.0
Gràcia,41.39827,2.15553,Private room,1,1.0,1.0,1.0,89.0,35.0
Sant Gervasi - Galvany,41.40201,2.13877,Entire home/apt,10,2.5,3.0,5.0,80.0,121.0
Ciutat Vella,41.3842,2.17422,Private room,1,1.0,1.0,1.0,91.0,25.0
Sarrià-Sant Gervasi,41.39441,2.14951,Entire home/apt,7,2.0,3.0,4.0,96.0,220.0
El Poblenou,41.40274,2.20763,Private room,1,1.0,1.0,1.0,95.0,27.0
Sant Antoni,41.384,2.16219,Private room,2,1.5,1.0,1.0,100.0,38.0
Sant Antoni,41.38274,2.16216,Entire home/apt,5,2.0,2.0,4.0,96.0,149.0
El Gòtic,41.37949,2.17618,Private room,2,2.0,1.0,1.0,93.0,55.0
Eixample,41.38317,2.16326,Private room,2,1.0,1.0,1.0,93.0,65.0
Sants-Montjuïc,41.35842,2.14377,Entire home/apt,7,2.0,3.0,6.0,83.0,80.0
El Raval,41.3792,2.16749,Entire home/apt,6,1.0,2.0,6.0,93.0,210.0
Dreta de l'Eixample,41.3921,2.17456,Entire home/apt,16,3.5,4.0,15.0,89.0,350.0
Sant Martí,41.39666,2.20131,Entire home/apt,2,1.0,2.0,1.0,93.0,68.0
El Clot,41.40831,2.18733,Private room,2,1.0,1.0,1.0,94.0,40.0
Gràcia,41.40337,2.16944,Entire home/apt,4,1.0,1.0,1.0,96.0,90.0
L'Antiga Esquerra de l'Eixample,41.38642,2.14855,Private room,1,1.0,1.0,1.0,73.0,35.0
Sants-Montjuïc,41.37427,2.14693,Entire home/apt,4,1.0,2.0,4.0,97.0,75.0
L'Antiga Esquerra de l'Eixample,41.39322,2.15314,Shared room,6,1.0,1.0,1.0,87.0,35.0
Sants-Montjuïc,41.36975,2.13348,Private room,2,1.0,1.0,1.0,95.0,80.0
Sants-Montjuïc,41.37365,2.16651,Entire home/apt,6,2.0,3.0,6.0,88.0,125.0
Sant Pere/Santa Caterina,41.38707,2.18126,Entire home/apt,2,1.0,1.0,1.0,94.0,95.0
Glòries - El Parc,41.39262,2.18578,Entire home/apt,8,1.5,3.0,4.0,88.0,250.0
el Fort Pienc,41.39932,2.18219,Entire home/apt,5,1.5,3.0,4.0,93.0,100.0
Ciutat Vella,41.37949,2.17872,Private room,2,1.0,1.0,1.0,60.0,47.0
El Raval,41.38169,2.16857,Private room,3,1.0,1.0,3.0,80.0,95.0
Dreta de l'Eixample,41.39212,2.16579,Entire home/apt,4,2.0,3.0,3.0,92.0,391.0
Horta-Guinardó,41.41594,2.17978,Private room,1,1.0,1.0,1.0,96.0,30.0
Ciutat Vella,41.38152,2.17376,Entire home/apt,4,1.0,0.0,2.0,93.0,84.0
Sarrià-Sant Gervasi,41.40814,2.13493,Private room,1,2.0,1.0,1.0,93.0,30.0
El Gòtic,41.37984,2.17694,Private room,4,1.0,1.0,3.0,96.0,90.0
Ciutat Vella,41.38253,2.17716,Entire home/apt,4,1.0,2.0,3.0,93.0,70.0
Vila de Gràcia,41.40019,2.15952,Entire home/apt,5,1.0,2.0,3.0,95.0,144.0
El Poble-sec,41.37323,2.16136,Private room,1,1.0,1.0,1.0,93.0,36.0
El Raval,41.3797,2.17038,Private room,2,1.0,1.0,1.0,98.0,55.0
El Poble-sec,41.37183,2.1634,Private room,2,1.0,1.0,1.0,93.0,45.0
Vila de Gràcia,41.40771,2.15987,Entire home/apt,3,1.0,0.0,2.0,92.0,110.0
Camp d'en Grassot i Gràcia Nova,41.40186,2.16554,Private room,2,1.0,1.0,2.0,80.0,100.0
Eixample,41.37599,2.16087,Private room,1,1.0,1.0,1.0,97.0,30.0
El Besòs i el Maresme,41.41342,2.22095,Entire home/apt,6,2.0,2.0,4.0,88.0,85.0
El Poble-sec,41.37197,2.16421,Entire home/apt,5,1.0,3.0,3.0,60.0,76.0
El Poblenou,41.39797,2.20013,Entire home/apt,4,1.0,1.0,1.0,77.0,70.0
Sants-Montjuïc,41.37274,2.14915,Entire home/apt,4,1.0,2.0,4.0,73.0,1000.0
Eixample,41.38368,2.15455,Private room,3,2.0,1.0,3.0,77.0,23.0
Ciutat Vella,41.38466,2.18624,Private room,2,1.5,1.0,1.0,93.0,80.0
El Raval,41.37938,2.16387,Private room,1,1.0,1.0,1.0,100.0,55.0
Sants-Montjuïc,41.37062,2.1583,Private room,2,1.0,1.0,1.0,95.0,50.0
Eixample,41.40557,2.17574,Entire home/apt,6,1.0,2.0,4.0,98.0,95.0
El Born,41.38424,2.17866,Private room,2,1.0,1.0,1.0,90.0,69.0
Eixample,41.38898,2.15621,Private room,2,1.0,1.0,1.0,94.0,40.0
Ciutat Vella,41.38302,2.16842,Private room,2,1.0,1.0,1.0,93.0,37.0
Eixample,41.39234,2.15186,Entire home/apt,5,1.0,3.0,5.0,88.0,75.0
Sant Antoni,41.38453,2.16269,Entire home/apt,6,2.0,2.0,5.0,90.0,350.0
el Fort Pienc,41.39208,2.18183,Private room,2,1.0,1.0,1.0,97.0,49.0
La Salut,41.41102,2.14962,Private room,1,1.0,1.0,1.0,93.0,40.0
Eixample,41.40883,2.17669,Entire home/apt,2,1.0,1.0,2.0,97.0,82.0
La Maternitat i Sant Ramon,41.37727,2.12371,Private room,4,1.0,1.0,4.0,100.0,9.0
Ciutat Vella,41.38324,2.17392,Private room,3,1.0,1.0,2.0,93.0,150.0
