neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,price
Gràcia,41.40121,2.15769,Entire home/apt,2,1.0,1.0,2.0,93.0,90.0
Gràcia,41.40701,2.16396,Private room,1,1.0,1.0,1.0,95.0,19.0
La Nova Esquerra de l'Eixample,41.38651,2.16191,Private room,3,3.5,1.0,2.0,80.0,80.0
Ciutat Vella,41.38535,2.18205,Entire home/apt,4,1.0,2.0,3.0,93.0,62.0
La Maternitat i Sant Ramon,41.3798,2.12829,Private room,2,1.5,1.0,1.0,100.0,45.0
Guinardó,41.41809,2.1692,Private room,1,1.0,1.0,1.0,100.0,40.0
Dreta de l'Eixample,41.39963,2.17138,Private room,2,1.0,1.0,1.0,86.0,49.0
La Nova Esquerra de l'Eixample,41.38085,2.15339,Entire home/apt,8,2.0,3.0,4.0,84.0,120.0
La Nova Esquerra de l'Eixample,41.38024,2.15146,Private room,1,1.0,1.0,1.0,93.0,680.0
El Putget i Farró,41.41124,2.13945,Entire home/apt,4,1.0,2.0,3.0,95.0,88.0
Gràcia,41.41772,2.14967,Entire home/apt,5,1.0,2.0,5.0,90.0,75.0
L'Antiga Esquerra de l'Eixample,41.38297,2.14334,Entire home/apt,5,1.5,3.0,4.0,80.0,130.0
Ciutat Vella,41.37828,2.1708,Private room,4,1.5,1.0,3.0,94.0,49.0
La Nova Esquerra de l'Eixample,41.38183,2.15211,Private room,2,1.5,1.0,1.0,94.0,40.0
Ciutat Vella,41.3846,2.16689,Entire home/apt,6,2.5,3.0,5.0,91.0,250.0
El Gòtic,41.38776,2.17393,Entire home/apt,5,2.0,3.0,5.0,93.0,90.0
Sants-Montjuïc,41.37367,2.15883,Private room,1,1.0,1.0,1.0,94.0,30.0
Ciutat Vella,41.38099,2.1781,Private room,2,1.5,1.0,2.0,83.0,65.0
Diagonal Mar - La Mar Bella,41.40437,2.21545,Entire home/apt,4,2.0,2.0,3.0,93.0,150.0
Eixample,41.39523,2.16976,Entire home/apt,5,2.0,3.0,3.0,100.0,600.0
Sants-Montjuïc,41.37597,2.14724,Entire home/apt,10,2.0,5.0,7.0,83.0,250.0
Carmel,41.42043,2.15666,Entire home/apt,4,1.0,1.0,3.0,92.0,350.0
Eixample,41.38539,2.14468,Private room,2,1.0,1.0,1.0,97.0,69.0
Ciutat Vella,41.38303,2.17772,Private room,2,1.0,1.0,1.0,92.0,55.0
Sant Andreu,41.4307,2.18305,Private room,1,1.0,1.0,1.0,93.0,20.0
Sant Gervasi - Galvany,41.39371,2.14699,Private room,2,1.0,1.0,1.0,100.0,2000.0
Sants-Montjuïc,41.37714,2.14572,Entire home/apt,2,1.0,2.0,2.0,98.0,38.0
Gràcia,41.40302,2.1596,Private room,1,1.0,1.0,1.0,93.0,29.0
Gràcia,41.39922,2.15761,Entire home/apt,6,1.0,2.0,3.0,88.0,58.0
Eixample,41.38074,2.15073,Entire home/apt,6,2.0,3.0,4.0,93.0,135.0
La Barceloneta,41.379,2.18327,Entire home/apt,10,5.0,4.0,6.0,98.0,900.0
La Barceloneta,41.38032,2.18916,Entire home/apt,4,1.0,2.0,3.0,89.0,95.0
Sarrià-Sant Gervasi,41.39649,2.14484,Entire home/apt,4,1.0,2.0,2.0,95.0,129.0
La Maternitat i Sant Ramon,41.37915,2.12805,Private room,2,1.5,1.0,1.0,93.0,20.0
Eixample,41.39339,2.15612,Entire home/apt,10,2.0,4.0,8.0,84.0,100.0
Gràcia,41.4048,2.17006,Private room,1,1.0,1.0,1.0,96.0,42.0
Sants-Montjuïc,41.37635,2.12778,Entire home/apt,6,2.0,2.0,3.0,89.0,169.0
Sant Antoni,41.38088,2.15994,Private room,2,1.0,1.0,1.0,75.0,20.0
El Gòtic,41.38057,2.17769,Private room,2,1.0,1.0,1.0,93.0,40.0
Sant Pere/Santa Caterina,41.38904,2.18181,Private room,2,2.0,1.0,1.0,93.0,35.0
Sant Martí,41.41799,2.19396,Private room,2,1.0,1.0,1.0,93.0,39.0
El Poblenou,41.39697,2.20198,Private room,2,1.0,1.0,1.0,93.0,35.0
Eixample,41.39242,2.17016,Entire home/apt,2,1.0,1.0,2.0,86.0,165.0
Les Corts,41.38052,2.12909,Private room,4,1.5,4.0,4.0,93.0,30.0
La Sagrada Família,41.4058,2.1809,Private room,1,2.0,1.0,1.0,97.0,85.0
Sant Martí de Provençals,41.41734,2.19715,Private room,4,1.0,2.0,2.0,94.0,50.0
Gràcia,41.3987,2.15737,Entire home/apt,2,1.0,1.0,1.0,68.0,60.0
Glòries - El Parc,41.39393,2.19129,Entire home/apt,4,1.0,1.0,2.0,84.0,110.0
Eixample,41.38243,2.1607,Entire home/apt,5,1.0,3.0,3.0,93.0,165.0
Eixample,41.37719,2.15216,Private room,1,2.0,1.0,1.0,93.0,25.0
La Maternitat i Sant Ramon,41.37814,2.12458,Private room,2,1.0,1.0,1.0,65.0,38.0
Ciutat Vella,41.38614,2.17898,Entire home/apt,4,1.5,1.0,2.0,93.0,50.0
Sant Martí,41.391,2.18857,Private room,1,2.0,1.0,1.0,92.0,42.0
Sant Martí,41.40846,2.2042,Private room,2,1.0,1.0,1.0,96.0,49.0
Ciutat Vella,41.38283,2.16469,Private room,1,1.0,1.0,1.0,88.0,13.0
Eixample,41.39905,2.17701,Entire home/apt,6,1.5,3.0,3.0,93.0,70.0
La Sagrada Família,41.40537,2.18037,Entire home/apt,4,1.0,1.0,2.0,93.0,75.0
Ciutat Vella,41.37704,2.16895,Entire home/apt,3,1.0,1.0,2.0,93.0,129.0
Eixample,41.3998,2.16428,Entire home/apt,4,1.0,1.0,1.0,80.0,80.0
Eixample,41.39345,2.16967,Private room,2,2.0,1.0,1.0,93.0,200.0
Sant Antoni,41.37676,2.15506,Private room,2,1.0,1.0,1.0,99.0,75.0
Sant Antoni,41.37612,2.16398,Entire home/apt,4,1.0,2.0,2.0,86.0,95.0
Ciutat Vella,41.38057,2.17932,Entire home/apt,2,2.0,1.0,1.0,93.0,40.0
Ciutat Vella,41.3779,2.17416,Entire home/apt,6,1.0,3.0,5.0,82.0,100.0
Eixample,41.38034,2.14942,Private room,1,1.0,1.0,1.0,89.0,27.0
Sant Martí,41.41141,2.18282,Private room,2,1.0,1.0,1.0,80.0,59.0
Sant Antoni,41.38521,2.16325,Private room,4,1.0,3.0,3.0,80.0,72.0
Ciutat Vella,41.38331,2.18197,Entire home/apt,3,1.5,2.0,2.0,87.0,100.0
Ciutat Vella,41.38513,2.18304,Entire home/apt,4,1.0,1.0,1.0,90.0,66.0
Dreta de l'Eixample,41.38991,2.17274,Entire home/apt,2,1.0,1.0,1.0,88.0,60.0
Eixample,41.39895,2.17594,Private room,2,1.0,1.0,1.0,90.0,50.0
Vila de Gràcia,41.40222,2.15595,Private room,4,1.0,1.0,2.0,98.0,28.0
Dreta de l'Eixample,41.38877,2.16979,Entire home/apt,5,1.0,2.0,3.0,94.0,400.0
Sant Pere/Santa Caterina,41.38656,2.17768,Entire home/apt,5,1.5,3.0,5.0,80.0,85.0
Dreta de l'Eixample,41.3978,2.16199,Entire home/apt,4,1.0,1.0,1.0,84.0,67.0
Sants-Montjuïc,41.37421,2.16865,Entire home/apt,6,1.0,3.0,6.0,90.0,400.0
El Poblenou,41.39851,2.20734,Entire home/apt,4,1.0,2.0,3.0,93.0,85.0
El Gòtic,41.38057,2.17669,Private room,2,1.0,1.0,1.0,96.0,30.0
Sant Antoni,41.37794,2.15578,Private room,2,1.0,1.0,1.0,91.0,30.0
La Nova Esquerra de l'Eixample,41.38594,2.15633,Private room,1,1.0,1.0,1.0,88.0,25.0
El Clot,41.40783,2.18866,Entire home/apt,6,1.0,2.0,3.0,60.0,65.0
Eixample,41.3827,2.16143,Entire home/apt,6,2.0,3.0,4.0,98.0,189.0
Eixample,41.3939,2.16001,Private room,2,2.0,1.0,1.0,93.0,75.0
El Clot,41.40792,2.19054,Private room,3,1.0,1.0,2.0,97.0,12.0
Vila de Gràcia,41.40348,2.1572,Private room,1,3.5,1.0,1.0,93.0,31.0
Ciutat Vella,41.38413,2.16844,Private room,2,1.0,1.0,1.0,100.0,188.0
Les Corts,41.39001,2.14257,Entire home/apt,6,2.0,3.0,5.0,79.0,85.0
El Raval,41.37844,2.17365,Entire home/apt,4,1.0,2.0,4.0,93.0,68.0
Eixample,41.40621,2.17471,Entire home/apt,6,1.0,3.0,4.0,93.0,120.0
Eixample,41.40586,2.17579,Entire home/apt,8,2.0,3.0,4.0,87.0,135.0
Ciutat Vella,41.38325,2.17325,Entire home/apt,3,2.0,2.0,2.0,90.0,65.0
Eixample,41.38542,2.16177,Entire home/apt,6,3.0,3.0,4.0,86.0,100.0
Vallcarca i els Penitents,41.41352,2.14652,Entire home/apt,4,1.0,1.0,2.0,80.0,76.0
La Verneda i La Pau,41.42364,2.2069,Private room,2,1.0,1.0,1.0,90.0,30.0
Sants-Montjuïc,41.37874,2.14362,Private room,1,2.0,1.0,1.0,93.0,150.0
Diagonal Mar - La Mar Bella,41.40342,2.21273,Entire home/apt,6,2.0,3.0,6.0,99.0,125.0
El Baix Guinardó,41.40844,2.16927,Private room,3,1.0,2.0,2.0,97.0,90.0
El Raval,41.37891,2.16844,Entire home/apt,4,1.0,0.0,3.0,93.0,54.0
Sants-Montjuïc,41.37224,2.13066,Entire home/apt,5,2.0,3.0,3.0,89.0,350.0
La Sagrada Família,41.40066,2.17661,Entire home/apt,5,2.0,3.0,4.0,86.0,126.0
Ciutat Vella,41.38002,2.17745,Private room,2,1.0,1.0,1.0,93.0,80.0
Eixample,41.4083,2.17367,Entire home/apt,8,2.0,4.0,5.0,93.0,280.0
Eixample,41.38914,2.17203,Entire home/apt,4,1.0,1.0,1.0,93.0,98.0
El Raval,41.3799,2.17199,Private room,1,1.0,1.0,1.0,92.0,38.0
Ciutat Vella,41.38656,2.17889,Private room,2,1.0,1.0,1.0,98.0,85.0
Eixample,41.39141,2.14921,Private room,2,1.0,1.0,1.0,80.0,35.0
Sant Antoni,41.38164,2.16255,Entire home/apt,4,1.0,2.0,2.0,80.0,70.0
Sarrià-Sant Gervasi,41.39839,2.14332,Entire home/apt,2,1.0,1.0,1.0,93.0,84.0
Eixample,41.39565,2.17822,Private room,1,2.0,2.0,1.0,97.0,20.0
Eixample,41.39276,2.17706,Entire home/apt,6,2.0,3.0,4.0,93.0,100.0
el Fort Pienc,41.39919,2.18383,Private room,1,1.0,1.0,1.0,93.0,22.0
Ciutat Vella,41.37987,2.16446,Private room,3,1.5,1.0,1.0,93.0,60.0
El Baix Guinardó,41.41215,2.16868,Private room,1,1.0,1.0,1.0,97.0,44.0
Sant Gervasi - Galvany,41.39861,2.14099,Private room,3,3.0,1.0,3.0,93.0,30.0
El Raval,41.37779,2.16926,Entire home/apt,10,1.0,1.0,5.0,93.0,200.0
Eixample,41.3944,2.16641,Entire home/apt,2,1.0,1.0,1.0,40.0,80.0
Nou Barris,41.44832,2.17568,Private room,2,1.5,1.0,1.0,80.0,52.0
Ciutat Vella,41.38425,2.18411,Private room,2,1.0,1.0,1.0,96.0,34.0
Sant Martí,41.42121,2.20957,Private room,2,1.0,1.0,1.0,100.0,70.0
El Besòs i el Maresme,41.41548,2.21764,Private room,1,1.0,1.0,1.0,100.0,35.0
El Gòtic,41.38482,2.17315,Entire home/apt,8,4.0,6.0,4.0,67.0,789.0
La Barceloneta,41.37878,2.18784,Private room,2,1.0,1.0,1.0,92.0,33.0
Eixample,41.3766,2.15529,Entire home/apt,9,2.0,4.0,6.0,96.0,215.0
Sant Martí,41.40273,2.19807,Entire home/apt,6,2.0,3.0,4.0,98.0,5000.0
Sants-Montjuïc,41.37284,2.14637,Entire home/apt,4,1.0,2.0,4.0,82.0,100.0
Dreta de l'Eixample,41.3959,2.17207,Entire home/apt,8,2.0,4.0,6.0,93.0,270.0
Ciutat Vella,41.38123,2.17641,Private room,5,2.0,1.0,5.0,96.0,66.0
Les Corts,41.38388,2.13835,Private room,1,1.0,1.0,1.0,94.0,30.0
Ciutat Vella,41.37721,2.17364,Private room,1,1.0,1.0,1.0,97.0,45.0
Sants-Montjuïc,41.35942,2.13805,Private room,1,1.0,1.0,1.0,93.0,30.0
Sants-Montjuïc,41.35842,2.14079,Private room,1,1.0,1.0,1.0,96.0,30.0
Sant Andreu de Palomar,41.42983,2.18321,Private room,2,1.0,1.0,1.0,96.0,30.0
Eixample,41.38082,2.15616,Private room,2,2.0,1.0,1.0,93.0,37.0
La Nova Esquerra de l'Eixample,41.38696,2.16048,Private room,1,1.5,1.0,1.0,93.0,30.0
Ciutat Vella,41.38547,2.18027,Entire home/apt,4,1.0,1.0,1.0,93.0,57.0
Sant Andreu de Palomar,41.42885,2.18973,Entire home/apt,4,1.0,4.0,4.0,93.0,50.0
El Putget i Farró,41.40815,2.1457,Entire home/apt,6,2.0,3.0,5.0,87.0,128.0
Eixample,41.39348,2.14896,Private room,2,1.0,1.0,1.0,93.0,116.0
Sants-Montjuïc,41.37277,2.15991,Shared room,1,2.0,1.0,4.0,100.0,35.0
Sant Martí,41.41228,2.1762,Entire home/apt,5,1.0,2.0,3.0,83.0,138.0
Eixample,41.3915,2.16503,Entire home/apt,4,1.0,1.0,1.0,91.0,183.0
El Poble-sec,41.37356,2.17507,Private room,2,1.0,1.0,1.0,96.0,43.0
Sants-Montjuïc,41.37386,2.15565,Entire home/apt,4,1.0,1.0,3.0,95.0,98.0
Gràcia,41.40344,2.16036,Entire home/apt,6,1.0,0.0,3.0,90.0,70.0
Eixample,41.40032,2.18376,Private room,4,1.0,2.0,2.0,93.0,104.0
Ciutat Vella,41.38588,2.17314,Entire home/apt,5,2.0,2.0,4.0,93.0,400.0
Eixample,41.40031,2.17518,Private room,2,1.0,1.0,1.0,100.0,55.0
Sant Antoni,41.38171,2.15984,Entire home/apt,5,1.0,2.0,4.0,88.0,70.0
Gràcia,41.41039,2.15788,Private room,2,1.0,1.0,1.0,92.0,50.0
Sant Martí,41.40787,2.18105,Private room,3,1.0,1.0,3.0,92.0,59.0
Gràcia,41.39909,2.15918,Entire home/apt,2,1.0,1.0,1.0,99.0,120.0
Ciutat Vella,41.37948,2.1801,Private room,3,2.0,1.0,2.0,93.0,75.0
Eixample,41.40231,2.1715,Private room,2,1.0,1.0,1.0,93.0,45.0
Dreta de l'Eixample,41.39386,2.17091,Entire home/apt,8,3.0,4.0,6.0,99.0,322.0
Ciutat Vella,41.38353,2.17055,Entire home/apt,6,2.0,3.0,5.0,93.0,115.0
Dreta de l'Eixample,41.39462,2.17492,Private room,2,1.0,1.0,1.0,100.0,600.0
Vila de Gràcia,41.39998,2.16021,Entire home/apt,4,1.0,2.0,3.0,87.0,100.0
Eixample,41.39861,2.18621,Private room,1,2.0,1.0,1.0,86.0,14.0
Ciutat Vella,41.37843,2.16791,Entire home/apt,7,1.0,3.0,7.0,91.0,350.0
El Camp de l'Arpa del Clot,41.41449,2.1858,Private room,2,1.0,1.0,1.0,94.0,30.0
el Fort Pienc,41.39693,2.18312,Private room,2,1.0,1.0,1.0,97.0,30.0
Gràcia,41.40112,2.16063,Entire home/apt,4,1.0,1.0,1.0,93.0,85.0
Eixample,41.37644,2.16294,Entire home/apt,4,1.0,3.0,4.0,91.0,140.0
Ciutat Vella,41.38264,2.18248,Private room,2,1.0,1.0,1.0,93.0,23.0
Dreta de l'Eixample,41.3999,2.16521,Entire home/apt,4,1.0,1.0,1.0,90.0,85.0
Vila de Gràcia,41.40145,2.16306,Entire home/apt,4,1.0,1.0,2.0,93.0,35.0
Sant Martí,41.39573,2.19136,Private room,2,1.0,1.0,1.0,91.0,30.0
Sant Martí,41.41615,2.21611,Private room,1,1.0,1.0,1.0,90.0,15.0
Eixample,41.37859,2.15357,Private room,4,1.5,1.0,2.0,88.0,26.0
El Raval,41.38089,2.17354,Private room,2,1.0,1.0,1.0,86.0,40.0
Sants-Montjuïc,41.37474,2.1659,Private room,2,1.0,1.0,1.0,93.0,40.0
Nou Barris,41.4357,2.17562,Private room,2,1.0,1.0,1.0,93.0,35.0
Glòries - El Parc,41.40218,2.19022,Private room,2,1.0,1.0,1.0,94.0,50.0
Ciutat Vella,41.38059,2.16412,Private room,2,1.0,1.0,1.0,100.0,100.0
Ciutat Vella,41.38647,2.17544,Private room,3,1.0,1.0,2.0,90.0,45.0
La Nova Esquerra de l'Eixample,41.38718,2.15983,Entire home/apt,4,1.0,2.0,3.0,100.0,99.0
Sants-Montjuïc,41.36848,2.14432,Private room,3,1.0,1.0,1.0,93.0,32.0
Dreta de l'Eixample,41.39449,2.17313,Private room,2,1.0,1.0,1.0,93.0,42.0
Eixample,41.39202,2.15255,Entire home/apt,4,1.0,2.0,4.0,100.0,150.0
La Sagrada Família,41.40102,2.1749,Entire home/apt,5,1.0,1.0,3.0,87.0,85.0
Carmel,41.42154,2.15854,Private room,2,1.0,1.0,1.0,99.0,45.0
El Raval,41.37751,2.17129,Private room,2,1.0,1.0,1.0,100.0,80.0
Sants-Montjuïc,41.37476,2.16212,Entire home/apt,4,1.0,1.0,1.0,99.0,105.0
Ciutat Vella,41.37984,2.17699,Private room,2,1.0,1.0,1.0,86.0,26.0
Gràcia,41.40536,2.17039,Private room,2,1.0,1.0,1.0,84.0,35.0
Sant Antoni,41.37637,2.16068,Entire home/apt,4,2.0,2.0,3.0,92.0,209.0
Eixample,41.40216,2.18132,Private room,2,1.0,1.0,1.0,93.0,35.0
Eixample,41.39066,2.15807,Entire home/apt,5,1.5,1.0,3.0,93.0,90.0
Sants-Montjuïc,41.3729,2.14234,Entire home/apt,3,1.0,2.0,3.0,80.0,55.0
Eixample,41.39281,2.16653,Private room,1,2.0,1.0,1.0,96.0,22.0
Eixample,41.38278,2.16274,Private room,3,1.0,1.0,2.0,93.0,46.0
Sant Martí,41.39413,2.19938,Entire home/apt,8,2.0,3.0,5.0,76.0,400.0
Ciutat Vella,41.38126,2.17625,Entire home/apt,3,1.0,2.0,2.0,93.0,76.0
Ciutat Vella,41.37852,2.1783,Private room,3,1.0,1.0,2.0,86.0,81.0
Ciutat Vella,41.37713,2.16955,Private room,6,1.0,2.0,3.0,84.0,186.0
La Nova Esquerra de l'Eixample,41.37944,2.15482,Private room,3,1.0,2.0,3.0,100.0,89.0
Ciutat Vella,41.38157,2.16549,Private room,2,1.5,1.0,1.0,100.0,45.0
La Salut,41.40969,2.15016,Private room,2,2.0,1.0,1.0,97.0,41.0
Vila de Gràcia,41.39738,2.15501,Entire home/apt,6,2.0,3.0,5.0,86.0,85.0
Sant Martí,41.40617,2.19528,Entire home/apt,6,1.0,2.0,4.0,97.0,250.0
Dreta de l'Eixample,41.3933,2.16627,Entire home/apt,4,1.0,1.0,4.0,96.0,105.0
Eixample,41.40574,2.17486,Entire home/apt,4,1.0,2.0,3.0,87.0,75.0
Vila de Gràcia,41.40245,2.16167,Private room,2,1.0,1.0,1.0,93.0,32.0
Ciutat Vella,41.38518,2.18054,Private room,2,1.0,1.0,1.0,100.0,47.0
Eixample,41.39694,2.16683,Entire home/apt,5,2.0,3.0,5.0,100.0,140.0
L'Antiga Esquerra de l'Eixample,41.38907,2.15089,Private room,2,1.5,1.0,1.0,100.0,50.0
Eixample,41.3942,2.16043,Entire home/apt,4,1.0,2.0,2.0,93.0,79.0
El Raval,41.37767,2.17151,Private room,2,1.0,1.0,1.0,89.0,55.0
Eixample,41.38884,2.16854,Entire home/apt,3,1.0,1.0,2.0,96.0,142.0
Sarrià-Sant Gervasi,41.39412,2.13762,Entire home/apt,10,2.5,4.0,7.0,87.0,260.0
Sant Martí,41.41415,2.18344,Private room,1,1.0,1.0,1.0,98.0,22.0
Eixample,41.37552,2.16579,Entire home/apt,10,2.0,5.0,6.0,90.0,320.0
Les Corts,41.38468,2.13747,Entire home/apt,1,1.0,1.0,1.0,92.0,23.0
Eixample,41.40504,2.17843,Entire home/apt,4,1.0,0.0,3.0,93.0,99.0
Sant Martí,41.41003,2.21057,Entire home/apt,7,1.0,3.0,6.0,89.0,65.0
Eixample,41.3819,2.14897,Private room,1,1.0,1.0,1.0,100.0,35.0
La Sagrada Família,41.40234,2.17256,Entire home/apt,6,1.0,2.0,5.0,93.0,100.0
Eixample,41.39588,2.16588,Entire home/apt,10,2.0,4.0,10.0,93.0,287.0
Sant Martí,41.41223,2.17986,Entire home/apt,4,1.0,2.0,3.0,93.0,145.0
Sant Martí,41.41275,2.19561,Private room,1,1.0,1.0,1.0,93.0,19.0
El Poblenou,41.40138,2.20186,Entire home/apt,4,1.0,2.0,2.0,80.0,59.0
Sant Martí,41.42109,2.2112,Private room,2,1.0,1.0,1.0,90.0,25.0
Eixample,41.38965,2.16405,Entire home/apt,8,2.0,3.0,5.0,94.0,599.0
Ciutat Vella,41.38392,2.17743,Entire home/apt,6,3.0,3.0,4.0,93.0,150.0
Eixample,41.38101,2.15059,Entire home/apt,6,1.0,3.0,5.0,80.0,120.0
Eixample,41.37964,2.15484,Entire home/apt,4,2.0,2.0,2.0,97.0,132.0
Eixample,41.40255,2.17368,Entire home/apt,4,1.0,2.0,2.0,89.0,85.0
Eixample,41.38751,2.16683,Entire home/apt,9,2.0,4.0,5.0,95.0,345.0
Gràcia,41.40465,2.17087,Entire home/apt,6,2.0,3.0,1.0,100.0,150.0
Sants-Montjuïc,41.37475,2.14439,Private room,2,2.0,1.0,1.0,100.0,60.0
Sants-Montjuïc,41.37094,2.15929,Entire home/apt,6,1.5,3.0,5.0,93.0,139.0
Eixample,41.37995,2.15148,Entire home/apt,7,2.0,3.0,3.0,60.0,100.0
Eixample,41.40379,2.17631,Entire home/apt,7,2.0,3.0,4.0,98.0,229.0
Glòries - El Parc,41.39737,2.19478,Entire home/apt,3,1.0,2.0,1.0,100.0,58.0
El Poblenou,41.40195,2.19832,Private room,2,1.0,1.0,1.0,99.0,43.0
Ciutat Vella,41.38068,2.16601,Private room,1,1.5,1.0,1.0,93.0,25.0
Sant Antoni,41.38148,2.1616,Private room,1,1.0,1.0,1.0,100.0,28.0
Eixample,41.39498,2.16768,Entire home/apt,6,3.0,3.0,4.0,93.0,220.0
Ciutat Vella,41.37958,2.17608,Entire home/apt,6,1.0,3.0,5.0,94.0,235.0
Eixample,41.38929,2.15505,Private room,2,1.0,1.0,1.0,94.0,49.0
Les Corts,41.38444,2.13944,Entire home/apt,2,1.0,1.0,2.0,93.0,100.0
La Maternitat i Sant Ramon,41.37705,2.11302,Entire home/apt,6,1.0,3.0,4.0,86.0,121.0
Gràcia,41.40454,2.16047,Entire home/apt,6,1.0,2.0,3.0,70.0,128.0
El Clot,41.40828,2.18622,Entire home/apt,6,1.0,2.0,4.0,90.0,115.0
Eixample,41.39514,2.17112,Private room,3,3.0,1.0,2.0,93.0,500.0
Sants-Montjuïc,41.37301,2.16211,Private room,2,1.5,1.0,1.0,93.0,40.0
Les Corts,41.38297,2.1342,Entire home/apt,4,1.0,1.0,1.0,93.0,80.0
Les Corts,41.38943,2.14206,Private room,1,1.0,1.0,1.0,93.0,45.0
Ciutat Vella,41.38425,2.18077,Entire home/apt,1,1.0,1.0,1.0,93.0,50.0
Les Corts,41.38435,2.13176,Entire home/apt,3,1.0,2.0,2.0,92.0,80.0
Sant Andreu,41.44012,2.19093,Private room,2,1.0,1.0,2.0,92.0,23.0
La Barceloneta,41.37914,2.19036,Entire home/apt,3,1.0,1.0,1.0,90.0,46.0
Vila de Gràcia,41.4006,2.16047,Private room,1,1.0,1.0,1.0,93.0,38.0
El Raval,41.38292,2.16856,Private room,2,2.5,1.0,2.0,90.0,93.0
Horta-Guinardó,41.43462,2.14454,Private room,1,1.0,1.0,1.0,93.0,35.0
La Nova Esquerra de l'Eixample,41.38106,2.15172,Entire home/apt,4,2.0,2.0,3.0,98.0,70.0
La Nova Esquerra de l'Eixample,41.38407,2.15637,Entire home/apt,4,1.0,2.0,4.0,88.0,350.0
Eixample,41.38685,2.14363,Entire home/apt,3,2.5,3.0,3.0,98.0,100.0
La Sagrada Família,41.40362,2.17579,Entire home/apt,4,1.0,2.0,3.0,80.0,3000.0
el Fort Pienc,41.39522,2.18038,Private room,1,1.0,1.0,0.0,100.0,23.0
Eixample,41.39453,2.17364,Entire home/apt,8,2.0,3.0,7.0,75.0,75.0
Glòries - El Parc,41.39374,2.18879,Private room,1,1.0,1.0,1.0,93.0,11.0
Sant Pere/Santa Caterina,41.38614,2.18232,Entire home/apt,6,1.0,3.0,4.0,100.0,58.0
El Raval,41.38041,2.17358,Entire home/apt,5,2.0,3.0,3.0,87.0,180.0
Sants-Montjuïc,41.37441,2.16389,Private room,2,1.0,1.0,1.0,100.0,60.0
Eixample,41.39112,2.16262,Private room,2,1.0,1.0,1.0,80.0,48.0
La Maternitat i Sant Ramon,41.37876,2.11349,Entire home/apt,3,1.0,1.0,2.0,93.0,60.0
Sarrià-Sant Gervasi,41.40299,2.1451,Entire home/apt,6,1.0,2.0,3.0,83.0,96.0
Ciutat Vella,41.38297,2.16389,Private room,2,1.0,1.0,1.0,94.0,45.0
Eixample,41.37878,2.1455,Entire home/apt,4,1.0,2.0,2.0,93.0,65.0
Eixample,41.38938,2.16471,Private room,2,1.0,1.0,1.0,92.0,89.0
El Besòs i el Maresme,41.41354,2.21796,Entire home/apt,3,1.0,1.0,2.0,95.0,45.0
Provençals del Poblenou,41.40845,2.20488,Private room,1,1.0,1.0,1.0,95.0,20.0
Ciutat Vella,41.38261,2.1784,Private room,2,1.0,1.0,1.0,95.0,36.0
El Raval,41.37756,2.16537,Entire home/apt,4,1.0,1.0,2.0,100.0,99.0
Glòries - El Parc,41.40016,2.19542,Entire home/apt,5,1.0,2.0,3.0,92.0,140.0
Gràcia,41.40087,2.15362,Entire home/apt,3,1.0,1.0,2.0,95.0,120.0
Sant Antoni,41.37651,2.16107,Entire home/apt,4,2.0,2.0,2.0,94.0,199.0
Eixample,41.38736,2.16808,Entire home/apt,6,2.0,2.0,4.0,93.0,500.0
Les Corts,41.38568,2.13548,Private room,2,1.0,1.0,1.0,100.0,38.0
El Raval,41.38023,2.16756,Entire home/apt,2,1.0,1.0,1.0,100.0,45.0
Eixample,41.39045,2.16882,Private room,2,1.0,1.0,1.0,93.0,60.0
el Fort Pienc,41.39467,2.17899,Private room,1,1.0,1.0,1.0,94.0,29.0
La Nova Esquerra de l'Eixample,41.38398,2.16102,Entire home/apt,12,2.0,5.0,9.0,89.0,230.0
Sant Antoni,41.37801,2.15746,Private room,1,1.0,1.0,1.0,93.0,28.0
Horta-Guinardó,41.4241,2.17409,Private room,2,1.0,1.0,2.0,75.0,30.0
Sants-Montjuïc,41.37206,2.16225,Entire home/apt,2,1.0,1.0,1.0,97.0,100.0
Gràcia,41.42069,2.15169,Private room,4,1.0,2.0,3.0,95.0,44.0
Sarrià,41.41035,2.11226,Private room,1,1.0,1.0,1.0,93.0,39.0
El Raval,41.37969,2.16495,Private room,2,1.5,1.0,1.0,83.0,51.0
Sant Martí,41.41585,2.19619,Private room,2,1.0,1.0,1.0,93.0,30.0
L'Antiga Esquerra de l'Eixample,41.38939,2.15938,Private room,1,1.0,1.0,1.0,95.0,25.0
Vila de Gràcia,41.40622,2.15181,Private room,2,1.0,1.0,1.0,93.0,50.0
Sant Antoni,41.38191,2.16332,Private room,2,1.0,1.0,1.0,93.0,50.0
Dreta de l'Eixample,41.3926,2.17885,Entire home/apt,6,2.0,3.0,5.0,96.0,301.0
Eixample,41.38167,2.15282,Shared room,2,1.0,1.0,2.0,93.0,50.0
Dreta de l'Eixample,41.3984,2.16976,Entire home/apt,4,2.0,2.0,3.0,96.0,150.0
Sant Martí,41.39765,2.20739,Private room,1,1.0,1.0,1.0,97.0,30.0
Eixample,41.38709,2.16136,Entire home/apt,3,1.0,1.0,2.0,80.0,77.0
